Time,data
7433.655,0.12488899399399397
7433.755,0.13634144644644644
7433.855,0.1477938988988989
7433.955,0.15924635135135135
7434.055,0.17069880380380378
7434.155,0.18215125625625628
7434.255,0.19360370870870872
7434.355,0.20505616116116118
7434.455,0.21650861361361362
7434.555,0.22796106606606606
7434.655,0.23941351851851853
7434.755,0.25086597097097096
7434.855,0.2623184234234234
7434.955,0.27377087587587584
7435.055,0.2852233283283283
7435.155,0.2966757807807807
7435.255,0.3081282332332332
7435.355,0.3195806856856857
7435.455,0.33103313813813817
7435.555,0.3424855905905906
7435.655,0.35393804304304305
7435.755,0.3653904954954955
7435.855,0.3768429479479479
7435.955,0.3882954004004004
7436.055,0.39974785285285286
7436.155,0.4112003053053053
7436.255,0.4226527577577578
7436.355,0.43410521021021026
7436.455,0.44555766266266267
7436.555,0.45701011511511513
7436.655,0.4684625675675676
7436.755,0.47991502002002
7436.855,0.4913674724724725
7436.955,0.5028199249249249
7437.055,0.5142723773773773
7437.155,0.5257248298298298
7437.255,0.5371772822822822
7437.355,0.5486297347347346
7437.455,0.5600821871871872
7437.555,0.5715346396396396
7437.655,0.582987092092092
7437.755,0.5944395445445445
7437.855,0.6058919969969969
7437.955,0.6173444494494493
7438.055,0.6287969019019019
7438.155,0.6402493543543543
7438.255,0.6517018068068067
7438.355,0.6631542592592592
7438.455,0.6746067117117116
7438.555,0.6860591641641641
7438.655,0.6975116166166165
7438.755,0.7089640690690691
7438.855,0.7204165215215215
7438.955,0.731868973973974
7439.055,0.7433214264264264
7439.155,0.7547738788788788
7439.255,0.7662263313313313
7439.355,0.7776787837837837
7439.455,0.7891312362362362
7439.556,0.8005836886886887
7439.656,0.8120361411411411
7439.755,0.8234885935935935
7439.855,0.834941046046046
7439.955,0.8463934984984984
7440.055,0.8578459509509508
7440.155,0.8692984034034034
7440.255,0.8807508558558559
7440.355,0.8922033083083083
7440.456,0.9036557607607607
7440.555,0.9151082132132132
7440.655,0.9265606656656656
7440.755,0.938013118118118
7440.856,0.9494655705705706
7440.955,0.960918023023023
7441.055,0.9723704754754755
7441.156,0.9833153973829284
7441.255,0.9930597262964265
7441.355,1.0016576635730425
7441.455,1.0091092092127762
7441.555,1.015414363215628
7441.655,1.0205731255815975
7441.755,1.024585496310685
7441.856,1.0274514754028903
7441.955,1.0291710628582136
7442.055,1.0297442586766545
